customer_id,country,state,city,zip_code,latitude,longitude,gender,senior_citizen,has_partner,has_dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract_type,paperless_billing,payment_method,monthly_charges,total_charges,churn_label,churn_flag,churn_score,cltv,churn_reason,total_charges_raw,is_new_customer_imputed_charges,senior_citizen_bool,has_partner_bool,has_dependents_bool,phone_service_bool,paperless_billing_bool,churn_label_bool,tenure_cohort,addon_service_count,has_internet,has_phone_and_internet,is_streaming_bundle,monetary_total_charges,monetary_monthly_run_rate,frequency_addon_breadth,recency_tenure_months,avg_revenue_per_tenure_month,contract_based_risk_tier,is_california_dataset
3668-QPYBK,United States,California,Los Angeles,90003,33.964131,-118.272783,Male,No,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,1,86,3239,Competitor made better offer,108.15,False,False,False,False,True,True,True,0-12 mo,2,True,True,False,108.15,53.85,2,2,54.075,High,True
9237-HQITU,United States,California,Los Angeles,90005,34.059281,-118.30742,Female,No,No,Yes,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,1,67,2701,Moved,151.65,False,False,False,True,True,True,True,0-12 mo,0,True,True,False,151.65,70.7,0,2,75.825,High,True
9305-CDSKC,United States,California,Los Angeles,90006,34.048013,-118.293953,Female,No,No,Yes,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,1,86,5372,Moved,820.5,False,False,False,True,True,True,True,0-12 mo,3,True,True,True,820.5,99.65,3,8,102.5625,High,True
7892-POOKP,United States,California,Los Angeles,90010,34.062125,-118.315709,Female,No,Yes,Yes,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,1,84,5003,Moved,3046.05,False,False,True,True,True,True,True,25-36 mo,4,True,True,True,3046.05,104.8,4,28,108.78750000000001,High,True
0280-XJGEX,United States,California,Los Angeles,90015,34.039224,-118.266293,Male,No,No,Yes,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,1,89,5340,Competitor had better devices,5036.3,False,False,False,True,True,True,True,49-60 mo,4,True,True,True,5036.3,103.7,4,49,102.78163265306122,High,True
4190-MFLUW,United States,California,Los Angeles,90020,34.066367,-118.309868,Female,No,Yes,No,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,1,78,5925,Competitor offered higher download speeds,528.35,False,False,True,False,True,False,True,0-12 mo,2,True,True,False,528.35,55.2,2,10,52.835,High,True
8779-QRDMV,United States,California,Los Angeles,90022,34.02381,-118.156582,Male,Yes,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,1,100,5433,Competitor offered more data,39.65,False,True,False,False,False,True,True,0-12 mo,2,True,False,False,39.65,39.65,2,1,39.65,High,True
1066-JKSGK,United States,California,Los Angeles,90024,34.066303,-118.435479,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,1,92,4832,Competitor made better offer,20.15,False,False,False,False,True,False,True,0-12 mo,0,False,False,False,20.15,20.15,0,1,20.15,High,True
6467-CHFZW,United States,California,Los Angeles,90028,34.099869,-118.326843,Male,No,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,1,77,5789,Competitor had better devices,4749.15,False,False,True,True,True,True,True,37-48 mo,3,True,True,True,4749.15,99.35,3,47,101.04574468085106,High,True
8665-UTDHZ,United States,California,Los Angeles,90029,34.089953,-118.294824,Male,No,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,1,97,2915,Competitor had better devices,30.2,False,False,True,False,False,False,True,0-12 mo,1,True,False,False,30.2,30.2,1,1,30.2,High,True
