customer_key,customer_id,gender,senior_citizen,has_partner,has_dependents
1,3668-QPYBK,Male,0,0,0
2,9237-HQITU,Female,0,0,1
3,9305-CDSKC,Female,0,0,1
4,7892-POOKP,Female,0,1,1
5,0280-XJGEX,Male,0,0,1
6,4190-MFLUW,Female,0,1,0
7,8779-QRDMV,Male,1,0,0
8,1066-JKSGK,Male,0,0,0
9,6467-CHFZW,Male,0,1,1
10,8665-UTDHZ,Male,0,1,0
11,8773-HHUOZ,Female,0,0,0
12,6047-YHPVI,Male,0,0,1
13,5380-WJKOV,Male,0,0,1
14,8168-UQWWF,Female,0,0,1
15,7760-OYPDY,Female,0,0,1
16,9420-LOJKX,Female,0,0,1
17,7495-OOKFY,Female,1,1,1
18,1658-BYGOY,Male,1,0,1
19,5698-BQJOH,Female,0,0,1
20,5919-TMRGD,Female,0,0,1
21,9191-MYQKX,Female,0,1,1
22,8637-XJIVR,Female,0,0,1
23,0278-YXOOG,Male,0,0,0
24,4598-XLKNJ,Female,1,1,1
25,3192-NQECA,Male,0,1,0
26,0486-HECZI,Male,0,1,1
27,4846-WHAFZ,Female,1,1,1
28,5299-RULOA,Female,0,1,1
29,0404-SWRVG,Male,0,0,1
30,4412-YLTKF,Female,1,0,1
31,6207-WIOLX,Female,0,1,0
32,3091-FYHKI,Male,0,0,0
33,2372-HWUHI,Male,0,0,0
34,0390-DCFDQ,Female,1,1,1
35,4080-OGPJL,Female,0,0,0
36,2135-RXIHG,Male,0,0,0
37,3874-EQOEP,Male,0,0,1
38,0867-MKZVY,Female,0,1,1
39,3376-BMGFE,Female,0,0,1
40,3445-HXXGF,Male,1,1,0
41,1875-QIVME,Female,0,1,1
42,0691-JVSYA,Female,0,1,0
43,2656-FMOKZ,Female,1,0,1
44,2070-FNEXE,Female,1,0,1
45,6317-YPKDH,Female,0,0,0
46,9367-WXLCH,Male,0,0,1
47,1918-ZBFQJ,Female,0,0,1
48,1024-GUALD,Female,0,1,0
49,2472-OVKUP,Male,0,1,1
50,1285-OKIPP,Male,0,0,1
51,7825-ECJRF,Female,0,0,1
52,7841-TZDMQ,Male,0,0,0
53,9408-SSNVZ,Female,0,0,1
54,0742-MOABM,Male,0,1,0
55,2232-DMLXU,Female,0,1,0
56,8937-RDTHP,Male,0,0,1
57,1251-KRREG,Male,0,0,0
58,0094-OIFMO,Female,1,0,1
59,9947-OTFQU,Male,1,0,0
60,0322-YINQP,Male,0,0,0
61,4629-NRXKX,Female,0,1,0
62,9514-JDSKI,Male,1,1,0
63,4959-JOSRX,Female,0,1,0
64,7273-TEFQD,Male,1,0,0
65,3606-TWKGI,Male,1,0,0
66,6323-AYBRX,Male,0,0,0
67,4385-GZQXV,Female,1,0,0
68,6366-ZGQGL,Male,0,0,0
