subscription_fact_key,customer_key,geography_key,plan_key,payment_method_key,tenure_cohort_key,churn_reason_key,tenure_months,monthly_charges,total_charges,is_new_customer_imputed_charges,churn_flag,churn_score,cltv,addon_service_count,avg_revenue_per_tenure_month,recency_tenure_months,frequency_addon_breadth,monetary_total_charges
1,1,1,1,1,1,1,2,53.85,108.15,0,1,86,3239,2,54.075,2,2,108.15
2,2,2,2,2,1,2,2,70.7,151.65,0,1,67,2701,0,75.825,2,0,151.65
3,3,3,3,2,1,2,8,99.65,820.5,0,1,86,5372,3,102.5625,8,3,820.5
4,4,4,4,2,3,2,28,104.8,3046.05,0,1,84,5003,4,108.78750000000001,28,4,3046.05
5,5,5,5,3,5,3,49,103.7,5036.3,0,1,89,5340,4,102.78163265306122,49,4,5036.3
6,6,6,6,4,1,4,10,55.2,528.35,0,1,78,5925,2,52.835,10,2,528.35
7,7,7,7,2,1,5,1,39.65,39.65,0,1,100,5433,2,39.65,1,2,39.65
8,8,8,8,1,1,1,1,20.15,20.15,0,1,92,4832,0,20.15,1,0,20.15
9,9,9,9,2,4,3,47,99.35,4749.15,0,1,77,5789,3,101.04574468085106,47,3,4749.15
10,10,10,10,2,1,3,1,30.2,30.2,0,1,97,2915,1,30.2,1,1,30.2
11,11,11,11,1,2,4,17,64.7,1093.1,0,1,74,3022,2,64.3,17,2,1093.1
12,12,12,2,2,1,4,5,69.7,316.9,0,1,66,2454,0,63.379999999999995,5,0,316.9
13,13,13,5,2,3,4,34,106.35,3549.25,0,1,65,2941,4,104.38970588235294,34,4,3549.25
14,14,14,3,3,1,5,11,97.85,1105.4,0,1,70,5674,3,100.4909090909091,11,3,1105.4
15,15,15,12,2,1,5,2,80.65,144.15,0,1,90,5586,1,72.075,2,1,144.15
16,16,16,13,4,2,5,15,99.1,1426.4,0,1,82,2966,4,95.09333333333333,15,4,1426.4
17,17,17,14,4,1,1,8,80.65,633.3,0,1,69,5302,1,79.1625,8,1,633.3
18,18,18,15,2,2,1,18,95.45,1752.55,0,1,81,3179,2,97.36388888888888,18,2,1752.55
19,19,19,16,2,1,6,9,94.4,857.25,0,1,96,5571,2,95.25,9,2,857.25
20,20,20,12,2,1,7,1,79.35,79.35,0,1,87,2483,1,79.35,1,1,79.35
21,21,21,17,3,1,8,7,75.15,496.9,0,1,70,3457,1,70.98571428571428,7,1,496.9
22,22,22,18,2,1,9,12,78.95,927.35,0,1,86,5806,1,77.27916666666667,12,1,927.35
23,23,23,8,1,1,10,5,21.05,113.85,0,1,66,2604,0,22.77,5,0,113.85
24,24,24,19,2,3,11,25,98.5,2514.5,0,1,88,5337,4,100.58,25,4,2514.5
25,25,25,20,3,6,12,68,110.0,7611.85,0,1,86,5034,5,111.93897058823529,68,5,7611.85
26,26,26,21,2,5,13,55,96.75,5238.9,0,1,75,5154,3,95.25272727272727,55,3,5238.9
